ClassName,GlobalRef,Global,GlobalBytesUsed,GlobalKB,GlobalMB,GlobalGB,HasGlobalMap,Status,Rows,HasLog,HasCSV,SizeBytes,SizeKB,SizeMB,SizeGB,Note,BaseGlobal
SITE.MASpotIDContainerListView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MASpotIDDecantHandlingVie,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MASpotIDDecantInstruct,,,0.0,,,,False,OK,122890.0,True,True,6568865.0,6414.91,6.2646,0.006118,\Success\,nan
SITE.MASpotIDMoveToSpot,,,0.0,,,,False,OK,239.0,True,True,3421.0,3.34,0.0033,3e-06,\Success\,nan
SITE.MASpotIDMoveToSpotView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MASpotIDOfflineSched,,,0.0,,,,False,OK,223.0,True,True,8797.0,8.59,0.0084,8e-06,\Success\,nan
SITE.MASpotIDOfflineSchedView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MASpotIDPrePostHandling,,,0.0,,,,False,OK,4.0,True,True,128.0,0.12,0.0001,0.0,\Success\,nan
SITE.MASpotIDPrePostHandlingVi,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MASpotIDPriceView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MASpotIDPriority,,,0.0,,,,False,OK,13913.0,True,True,413233.0,403.55,0.3941,0.000385,\Success\,nan
SITE.MASpotIDPriorityView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MASynBTTstXref,,,0.0,,,,False,OK,0.0,True,True,31.0,0.03,0.0,0.0,\Success\,nan
SITE.MASynBatTst,,,0.0,,,,False,OK,0.0,True,True,33.0,0.03,0.0,0.0,\Success\,nan
SITE.MASyndrome,,,0.0,,,,False,OK,0.0,True,True,66.0,0.06,0.0001,0.0,\Success\,nan
SITE.MATEST,,,0.0,,,,False,OK,9665.0,True,True,1326738.0,1295.64,1.2653,0.001236,\Success\,nan
SITE.MATSTPTLOC,,,0.0,,,,False,OK,4381.0,True,True,207788.0,202.92,0.1982,0.000194,\Success\,nan
SITE.MATSTWksheetPointer,,,0.0,,,,False,OK,16794.0,True,True,432502.0,422.37,0.4125,0.000403,\Success\,nan
SITE.MATechCode,,,0.0,,,,False,OK,3900.0,True,True,265831.0,259.6,0.2535,0.000248,\Success\,nan
SITE.MATestSS,,,0.0,,,,False,OK,0.0,True,True,41.0,0.04,0.0,0.0,\Success\,nan
SITE.MATextCode,,,0.0,,,,False,OK,145009.0,True,True,8926529.0,8717.31,8.513,0.008313,\Success\,nan
SITE.MATubeType,,,0.0,,,,False,OK,409.0,True,True,22186.0,21.67,0.0212,2.1e-05,\Success\,nan
SITE.MAWkldMeth,,,0.0,,,,False,OK,9046.0,True,True,236961.0,231.41,0.226,0.000221,\Success\,nan
SITE.MAWorksheetView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MCBIOTYPEView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MCDrugText,,,0.0,,,,False,OK,221.0,True,True,6564.0,6.41,0.0063,6e-06,\Success\,nan
SITE.MCORGView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MCOrder,,,0.0,,,,False,OK,0.0,True,True,254.0,0.25,0.0002,0.0,\Success\,nan
SITE.MCOrderView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MCOrgBiotype,,,0.0,,,,False,OK,5745.0,True,True,311449.0,304.15,0.297,0.00029,\Success\,nan
SITE.MCOrganism,,,0.0,,,,False,OK,0.0,True,True,68.0,0.07,0.0001,0.0,\Success\,nan
SITE.MCPtSuscIntMedDrugs,,,0.0,,,,False,OK,0.0,True,True,32.0,0.03,0.0,0.0,\Success\,nan
SITE.MCPtSuscResDrugs,,,0.0,,,,False,OK,0.0,True,True,32.0,0.03,0.0,0.0,\Success\,nan
SITE.MCPtSuscSensDrugs,,,0.0,,,,False,OK,0.0,True,True,32.0,0.03,0.0,0.0,\Success\,nan
SITE.MCPtSuscView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MCRESView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MCResAllCtxtView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MCResBatAcc,,,0.0,,,,False,OK,0.0,True,True,793.0,0.77,0.0008,1e-06,\Success\,nan
SITE.MCResBatAccView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MCResBio,,,0.0,,,,False,OK,0.0,True,True,112.0,0.11,0.0001,0.0,\Success\,nan
